train_loss,val_loss,learning_rate
0.00832049416667434,0.008250515464169439,0.001
0.007903091863244366,0.006326265192910796,0.0005
0.00661414522647208,0.006329599331365898,0.0005
0.006477013608435681,0.006085349414206576,0.0005
0.006135307291740861,0.006821817645686679,0.0005
0.006215649767339798,0.007866511601605453,0.0005
0.006373578030996694,0.0068426008911046665,0.0005
0.006542518092903032,0.006555233492690604,0.0005
0.006147074115358557,0.008011154226551298,0.0005
0.005982508481294932,0.006536910826980602,0.00025
0.005705949372030815,0.0069452600728254765,0.00025
0.005481731038723314,0.0065474686489324085,0.00025
0.005500615616608157,0.007058700502966531,0.00025
0.005474626221148454,0.007321639706788119,0.00025
