strategy,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,win_rate,num_trades,final_value
Buy & Hold,0.5364307823433918,0.06345826897447693,0.6656137676051056,0.06529051995249562,-0.7669051802997037,0.5258669698692439,2,15364.307823433917
LSTM,1.4021534643581354e+37,209781.59776389753,26.748426846700248,7842.763201222681,-0.4697030538786172,0.4451392836839113,3546,1.4021534643581354e+41
TFT,9.216110329455517e+35,142034.47336258553,26.517649377530375,5356.223371855043,-0.4696164524349577,0.450255827174531,3667,9.216110329455517e+39
